,SIC,state_of_INC
775,5099,MI
776,5099,MI
777,5099,MI
778,6021,DE
779,6162,MD
780,6162,MD
781,3621,0
782,8711,DE
783,6331,DE
784,3826,DE
785,2100,FL
786,5712,MD
787,4512,HI
788,3714,DE
789,3310,DE
790,7389,NV
791,6411,DE
792,8060,DE
793,5912,DE
794,6022,IN
795,3651,NV
796,6035,DE
797,7350,DE
798,7350,DE
799,7350,DE
800,3570,DE
801,5731,DE
802,6282,DE
803,6282,DE
804,6282,DE
805,6282,DE
806,6411,VA
807,2320,0
808,3841,IN
809,7389,DE
810,3460,DE
811,2711,DE
812,7841,OR
813,5990,FL
814,5990,FL
815,2670,DE
816,8082,PA
817,7381,DE
818,8090,NY
819,1389,DE
820,8744,DE
821,3330,DE
822,8082,FL
823,3724,DE
824,3670,CT
825,4899,DE
826,3950,PA
827,3823,IN
828,4899,E9
829,5411,GA
830,7373,DE
831,7372,DE
832,7372,DE
833,7372,DE
834,2011,DE
835,2011,DE
836,2253,DE
837,2253,DE
838,2253,DE
839,1600,O5
840,4955,DE
841,2834,DE
842,2834,DE
843,2834,DE
844,6770,NV
845,2836,DE
846,2834,DE
847,2834,DE
848,7389,DE
849,5812,DE
850,3829,MN
851,7372,DE
852,7373,DE
853,2835,DE
854,2836,DE
855,6162,CA
856,6311,FL
857,4899,DE
858,5110,DE
859,3842,DE
860,4813,CA
861,7371,L3
862,8731,DE
863,6035,IN
864,2990,NV
865,7373,MA
866,3577,OR
867,7331,DE
868,5045,DE
869,8742,DE
870,7389,DE
871,7389,DE
872,3841,DE
873,7389,NV
874,2800,DE
875,7389,GA
876,4899,0
877,1382,DE
878,4841,DE
879,7363,DE
880,6211,DE
881,5010,IL
882,6321,DE
883,7389,0
884,3823,MI
885,8011,DE
886,7380,DE
887,7380,DE
888,7380,DE
889,1731,DE
890,4213,FL
891,3674,DE
892,7373,PA
893,7373,PA
894,7372,DE
895,7389,0
896,7373,NJ
897,2844,DE
898,3661,DE
899,7372,NC
900,4833,NV
901,6029,OH
902,4832,NY
903,7373,DE
904,7373,DE
905,7374,MN(Assistant
906,2835,DE
907,7389,DE
908,7389,DE
909,3577,NV
910,3577,DE
911,5735,DE
912,2911,DE
913,7372,CA
914,7389,WI
915,0,0
916,2834,DE
917,3357,DE
918,7371,DE
919,7389,DE
920,2834,DE
921,7372,DE
922,2050,DE
923,3663,0
924,3825,DE
925,2834,DE
926,6035,WI
927,3572,DE
928,4812,DE
929,7389,DE
930,6798,DE
931,4220,DE
932,6021,SC
933,4813,DE
934,4813,DE
935,7389,NV
936,7372,DE
937,3825,WA
938,4841,0
939,1311,0
940,7812,CA
941,5065,NY
942,3430,DE
943,6035,PA
944,1000,A6
945,4210,NV
946,3674,DE
947,3674,DE
948,7900,DE
949,7371,DE
950,6531,DE
951,3674,DE
952,3949State,WI
953,3949State,WI
954,8744,DE
955,4700,CA
956,3640,DE
957,4955,DE
958,6159,DE
959,2621,DE
960,2330,DE
961,6500,DE
962,7990,C5
963,7372,0
964,7372,0
965,5990,0
966,4522,DE
967,2711,FL
968,2711,FL
969,2711,FL
970,5160,DE
971,5960,DE
972,1000,0
973,7381,DE
974,3460,WI
975,7990,MN
976,2834,WY
977,6361,VA
978,2033,CA
979,5040,DE
980,3576,DE
981,3669,DE
982,6199,DE
983,6199,DE
984,6331,0
985,7819,DE
986,8200,DE
987,3674,DE
988,3674,DE
989,4812,DE
990,3714,DE
991,8200,DE
992,8200,DE
993,3100,DE
994,3100,DE
995,3100,DE
996,7389,0
997,3260,DE
998,2870,OH
999,6552,FL
1000,3861,DE
1001,7385,DE
1002,2300,0
1003,8082,0
1004,6331,DE
1005,4841,DE
1006,2834,NV
1007,2834,NV
1008,4953,C5
1009,3841,DE
1010,2834,DE
1011,7372,NV
1012,2452,NY
1013,4822,E9
1014,3690,DE
1015,7372,DE
1016,6029,X0formerly:
1017,4899,DE
1018,4899,DE
1019,5621,DE
1020,5621,DE
1021,7200,0
1022,5812,DE
1023,7374,DE
1024,7374,DE
1025,2836,A6
1026,4812,DE
1027,3679,DE
1028,7200,DE
1029,7200,DE
1030,3669,L3
1031,8060,DE
1032,7948,DE
1033,7948,DE
1034,3679,DE
1035,8093,TX
1036,4512,MN
1037,4512,MN
1038,5500,NV
1039,7372,MN
1040,8742,DE
1041,7372,DE
1042,5013,DE
1043,1400,NC
1044,6794,DE
1045,6022,DE
1046,7389,DE
1047,2835,DE
1048,6022,CO
1049,7372,DE
1050,2834,DE
1051,2834,DE
1052,6331,0
1053,5190,MI
1054,6324,DE
1055,6324,DE
1056,6324,DE
1057,5331,OH
1058,7389,DE
1059,4813,DE
1060,6512,CA
1061,6532,DE
1062,7900,DE
1063,7900,DE
1064,4899,DE
1065,7371,DE
1066,3577,DE
1067,4833,VA
1068,4813,DE
1069,8093,TX
1070,1000,NV
1071,8071,DE
1072,3841,NV
1073,2834,DE
1074,7373,NY
1075,7373,NY
1076,3841,NV
1077,7374,NJ
1078,3420,NV
1079,7389,DE
1080,3674,0
1081,2834,DE
1082,2611,WA
1083,2611,WA
1084,6331,DE
1085,4955,MN
1086,2721,IA
1087,3730,DE
1088,3679,DE
1089,8700,DE
1090,5051,DE
1091,3663,DE
1092,4899,OR
1093,4812,DE
1094,3577,NJ
1095,4899,DE
1096,4899,DE
1097,4812,DE
1098,4812,DE
1099,4812,DE
1100,3559,DE
1101,3559,DE
1102,3559,DE
1103,8011,FL
1104,2086,O5
1105,5812,TX
1106,3564,DE
1107,4813,NV
1108,6500,A8
1109,6500,A8
1110,6500,A8
1111,6500,A8
1112,6500,A8
1113,5945,DE
1114,7372,TX
1115,2836,NV
1116,7372,IA
1117,5010,DE
1118,3942,WI
1119,3260,DE
1120,3990,NV
1121,6021,VA
1122,7900,NJ
1123,1311,DE
1124,3713,TN
1125,4812,0
1126,5912,DE
1127,8082,DE
1128,2834,0
1129,2834,0
1130,1040,0
1131,1311,DE
1132,1311,DE
1133,3949State,UT
1134,0100,DE
1135,3577,DE
1136,2650,NY
1137,2834,MA
1138,2834,MA
1139,2834,MA
1140,2834,MA
1141,8000,DE
1142,6099,DE
1143,6331,0
1144,6311,DE
1145,3823,PA
1146,3823,PA
1147,1311,NV
1148,5812,OH
1149,4899,DE
1150,3590,DE
1151,1000,A6
1152,7841,DE
1153,3310,DE
1154,3310,DE
1155,4813,NV
1156,4813,DE
1157,7340,OH
1158,7372,DE
1159,3490,DE
1160,4813,MN
1161,8742,NV
1162,2836,DE
1163,2836,DE
1164,2836,DE
1165,6500,D8
1166,3390,DE
1167,3390,DE
1168,6331,NJ
1169,6331,NJ
1170,3669,DE
1171,6021,OH
1172,7310,DE
1173,7389,DE
1174,6200,DE
1175,6200,DE
1176,6282,FL
1177,6282,DE
1178,7372,DE
1179,2833,DE
1180,2833,DE
1181,5190,DE
1182,5990,DE
1183,2834,UT
1184,3949State,WA
1185,5045,MN
1186,2835,DE
1187,4412,1T
1188,3711,DE
1189,7370,DE
1190,2842,DE
1191,3571,X0
1192,3571,X0
1193,7359,DE
1194,7389,DE
1195,4813,DE
1196,4813,DE
1197,7200,FL
1198,4813,DE
1199,4813,0
1200,7372,DE
1201,7372,DE
1202,7372,DE
1203,3571,DE
1204,7372,DE
1205,7372,DE
1206,7372,NV
1207,7372,DE
1208,2836,DE
1209,2836,DE
1210,2834,DE
1211,2834,CA
1212,8734,DE
1213,7990,NV
1214,6162,DE
1215,6021,SC
1216,2761,DE
1217,6513,MA
1218,1311,CO
1219,2834,VA
1220,8082,NY
1221,2711,NY
1222,1520,DE
1223,6172,DE
1224,7372,DE
1225,8060,DE
1226,3663,DE
1227,3317,DE
1228,6153,FL
1229,7372,DE
1230,2834,DE
1231,3841,DE
1232,6770,E9
1233,3845,WA
1234,4931,DE
1235,4931,DE
1236,2834,DE
1237,3845,FL
1238,3845,FL
1239,4911,DE
1240,6036,CT
1241,4813,0
1242,4833,DE
1243,4899,NV
1244,4812,DE
1245,2834,0
1246,4911,L3
1247,3910,NV
1248,2834,DE
1249,2836,NY
1250,6351,NY
1251,6022,MI
1252,3674,DE
1253,7389,DE
1254,3576,DE
1255,3576,DE
1256,3841,DE
1257,3669,DE
1258,2033,CA
1259,7359,OK
1260,3844,DE
1261,3826,OK
1262,3590,WI
1263,2800,VA
1264,1382,LA
1265,2844,NV
1266,3674,0
1267,3674,0
1268,8011,DE
1269,7372,WA
1270,7389,DE
1271,7371,0
1272,7372,DE
1273,7372,DE
1274,3661,DE
1275,3674,CA
1276,8093,DE
1277,7389,0
1278,7389,DE
1279,7372,GA
1280,7372,DE
1281,3851,DE
1282,8734,0
1283,7011,D0
1284,7011,D0
1285,3841,0
1286,3569,MN
1287,3841,DE
1288,3841,DE
1289,3841,DE
1290,6035,DE
1291,6311,E9
1292,3290,DE
1293,3621,PA
1294,3540,DE
1295,5600,CA
1296,7373,DE
1297,4812,DE
1298,4812,DE
1299,6036,DE
1300,3861,DE
1301,5812,DE
1302,3674,FL
1303,5940,MN
1304,1311,DE
1305,6770,DE
1306,6035,DE
1307,2844,DE
1308,1389,NV
1309,7389,DE
1310,3842,DE
